address,price,space
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
"Goumoensstrasse 43, 3007 Bern","CHF 1,330",65
"Hintere Engehaldenstrasse 38, 3004 Bern",CHF 990,45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,080",28
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",45
"Reichenbachstrasse 120, 3004 Bern","CHF 1,250",43
"Tiefenaustrasse 139, 3004 Bern","CHF 1,320",60
"Reichenbachstrasse 120, 3004 Bern","CHF 1,430",58
"Hintere Engehaldestrasse 12, 3004 Bern","CHF 2,435",172
"Marzilistrasse 38, 3005 Bern","CHF 1,620",47
"Aegertenstrasse 53, 3005 Bern","CHF 1,850",55
"Aegertenstrasse 53, 3005 Bern","CHF 2,490",4r
"Dalmazirain 26, 3005 Bern","CHF 2,690",93
"Sonnenhofweg 12, 3006 Bern",CHF 840,27
"Giacomettistrasse 6, 3006 Bern",CHF 880,31
"Weltistrasse 32, 3006 Bern",CHF 930,35
"Egelgasse 47, 3006 Bern","CHF 1,050",36
"Buristr. 8, 3006 Bern","CHF 1,210",44
"Ostring 10, 3006 Bern","CHF 1,350",55
"Giacomettistrasse 25, 3006 Bern","CHF 1,360",57
"Ostring 77, 3006 Bern","CHF 1,360",58
